State,SA3 code,SA3 name,Remoteness/ socioeconomic status (SES),Per cent of patients with costs (%),25th percentile ($),50th percentile (Median) ($),75th percentile ($),90th percentile ($),Average no. of services per patient(b),Average out-of-pocket cost per patient ($)(b),Average Medicare benefits expenditure per patient ($)(b),Service type,Per cent of patients with GP costs (%),Per cent of patients with specialist costs (%),Per cent of patients with obstetric costs (%),25th percentile ($).1,50th percentile (Median) ($).1,75th percentile ($).1,90th percentile ($).1
NSW,12405,St Marys,Major cities - medium SES,,3,7,15,28,,,,GP,3.4,,,,,,
NSW,12003,Strathfield - Burwood - Ashfield,Major cities - medium SES,,8,19,33,43,,,,GP,15.6,,,,,,
NSW,12802,Sutherland - Menai - Heathcote,Major cities - higher SES,,7,14,24,33,,,,GP,33.5,,,,,,
NSW,11703,Sydney Inner City,Major cities - higher SES,,11,24,38,49,,,,GP,39.1,,,,,,
NSW,12203,Warringah,Major cities - higher SES,,11,21,34,43,,,,GP,46.9,,,,,,
NSW,12303,Wollondilly,Inner regional,,6,13,23,33,,,,GP,14.6,,,,,,
NSW,12501,Auburn,Major cities - lower SES,,33,66,107,147,,,,Specialist,,58.8,28.7,57.0,227.0,357.0,587.0
NSW,11901,Bankstown,Major cities - lower SES,,33,63,105,147,,,,Specialist,,65.4,33.8,50.0,225.0,326.0,468.0
NSW,11501,Baulkham Hills,Major cities - higher SES,,44,77,115,148,,,,Specialist,,79.6,60.9,44.0,211.0,319.0,504.0
NSW,11601,Blacktown,Major cities - lower SES,,32,62,102,137,,,,Specialist,,60.0,31.1,42.0,206.0,301.0,450.0
NSW,11602,Blacktown - North,Major cities - higher SES,,41,74,113,147,,,,Specialist,,72.3,54.9,37.0,204.0,305.0,442.0
NSW,11701,Botany,Major cities - lower SES,,37,74,122,157,,,,Specialist,,67.7,48.5,57.0,177.0,428.0,603.0
NSW,12701,Bringelly - Green Valley,Major cities - lower SES,,39,71,107,138,,,,Specialist,,69.4,39.5,40.0,169.0,298.0,446.0
NSW,12301,Camden,Major cities - medium SES,,43,75,111,137,,,,Specialist,,78.3,46.8,49.0,204.0,311.0,429.0
NSW,12302,Campbelltown (NSW),Major cities - lower SES,,36,64,103,131,,,,Specialist,,66.3,19.4,35.0,162.0,301.0,434.0
NSW,12001,Canada Bay,Major cities - higher SES,,45,86,127,158,,,,Specialist,,76.3,57.8,47.0,231.0,414.0,663.0
NSW,11902,Canterbury,Major cities - lower SES,,32,64,107,149,,,,Specialist,,62.1,27.4,45.0,205.0,357.0,483.0
NSW,12502,Carlingford,Major cities - medium SES,,41,76,115,147,,,,Specialist,,72.6,44.5,59.0,216.0,330.0,505.0
NSW,12101,Chatswood - Lane Cove,Major cities - higher SES,,53,92,137,170,,,,Specialist,,81.6,70.7,63.0,251.0,445.0,716.0
NSW,12801,Cronulla - Miranda - Caringbah,Major cities - higher SES,,40,75,118,153,,,,Specialist,,82.6,61.4,39.0,227.0,362.0,479.0
NSW,11502,Dural - Wisemans Ferry,Major cities - higher SES,,47,79,115,148,,,,Specialist,,83.6,63.9,24.0,198.0,293.0,445.0
NSW,11801,Eastern Suburbs - North,Major cities - higher SES,,54,96,139,172,,,,Specialist,,81.0,78.1,55.0,191.0,417.0,615.0
NSW,11802,Eastern Suburbs - South,Major cities - higher SES,,42,81,127,163,,,,Specialist,,71.7,60.6,50.0,177.0,422.0,641.0
NSW,12702,Fairfield,Major cities - lower SES,,32,61,97,130,,,,Specialist,,62.1,32.2,43.0,180.0,278.0,406.0
NSW,11503,Hawkesbury,Inner regional,,41,71,107,135,,,,Specialist,,78.8,47.8,29.0,43.0,154.0,370.0
NSW,12102,Hornsby,Major cities - higher SES,,49,84,124,161,,,,Specialist,,81.9,53.9,50.0,206.0,314.0,485.0
NSW,11903,Hurstville,Major cities - medium SES,,38,72,114,152,,,,Specialist,,70.9,50.1,46.0,227.0,359.0,489.0
NSW,11904,Kogarah - Rockdale,Major cities - medium SES,,38,73,115,155,,,,Specialist,,70.7,46.7,48.0,222.0,361.0,484.0
NSW,12103,Ku-ring-gai,Major cities - higher SES,,53,92,135,167,,,,Specialist,,85.2,70.4,67.0,232.0,384.0,614.0
NSW,12002,Leichhardt,Major cities - higher SES,,55,97,141,171,,,,Specialist,,78.0,69.5,37.0,173.0,428.0,606.0
NSW,12703,Liverpool,Major cities - lower SES,,38,69,107,142,,,,Specialist,,68.4,34.4,40.0,184.0,313.0,444.0
NSW,12201,Manly,Major cities - higher SES,,55,94,134,168,,,,Specialist,,85.4,71.3,102.0,266.0,450.0,1306.0
NSW,11702,Marrickville - Sydenham - Petersham,Major cities - medium SES,,43,84,129,167,,,,Specialist,,68.7,48.8,29.0,72.0,392.0,552.0
NSW,12503,Merrylands - Guildford,Major cities - lower SES,,32,63,102,142,,,,Specialist,,58.2,17.5,49.0,205.0,301.0,454.0
NSW,11603,Mount Druitt,Major cities - lower SES,,31,60,98,129,,,,Specialist,,49.2,18.8,39.0,150.0,301.0,454.0
NSW,12104,North Sydney - Mosman,Major cities - higher SES,,56,95,140,174,,,,Specialist,,84.5,74.0,72.0,237.0,471.0,1010.0
NSW,12504,Parramatta,Major cities - medium SES,,38,71,112,147,,,,Specialist,,65.4,31.7,64.0,215.0,322.0,475.0
NSW,12601,Pennant Hills - Epping,Major cities - higher SES,,48,83,121,156,,,,Specialist,,80.9,59.2,62.0,220.0,348.0,471.0
NSW,12403,Penrith,Major cities - medium SES,,39,71,107,132,,,,Specialist,,70.7,39.4,52.0,104.0,198.0,291.0
