Suburb,Offence category,Subcategory,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026
DOONSIDE,Theft,Steal from retail store,10,4,9,5,4,5,8,8,6,4,7,1,1,1,3,2,0,3,3,1,2,2,1,3,1,0,3,2,4,0,0,1,0,3,3,3,7,1,3,6,3,2,2,3,4,0,1,0,3,13,7,5,2,1,0,4,7,5,1,4,9,4,7
DOONSIDE,Theft,Steal from dwelling,5,5,4,5,2,5,2,2,3,3,4,4,4,2,3,0,6,2,2,4,1,5,3,2,3,3,4,2,5,1,1,4,15,5,6,5,3,0,5,3,7,1,2,2,2,0,3,2,2,2,1,1,3,0,0,3,2,0,3,4,2,4,2
DOONSIDE,Theft,Steal from person,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,2,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
DOONSIDE,Theft,Fraud,10,10,11,12,8,8,9,6,10,8,4,10,9,8,9,13,12,10,8,6,7,5,5,9,6,14,8,9,5,2,6,1,8,2,6,5,7,3,2,4,7,4,8,4,6,6,6,5,2,3,2,1,3,1,1,6,1,2,5,4,2,6,1
DOONSIDE,Theft,Other theft,3,1,2,4,1,1,0,2,1,1,1,2,2,0,0,1,2,0,0,2,3,0,4,1,3,1,5,1,3,2,1,3,1,1,1,1,3,1,0,0,2,1,0,1,1,2,0,2,1,1,2,1,2,0,0,3,1,2,2,1,1,2,1
DOONSIDE,Arson,Arson,2,0,0,1,1,1,0,4,1,0,3,1,1,3,0,4,0,1,0,1,1,0,2,2,2,1,1,1,0,0,4,3,0,1,4,1,0,2,1,2,2,1,0,2,0,0,1,1,5,2,2,1,0,1,1,2,3,1,2,4,1,2,0
DOONSIDE,Malicious damage to property,Malicious damage to property,26,22,17,20,27,24,11,13,15,14,16,13,15,13,7,12,12,16,14,20,16,15,11,15,10,9,21,12,8,7,10,10,6,16,16,10,10,11,12,13,4,6,8,8,8,8,12,12,16,13,7,4,7,9,6,7,7,6,7,7,6,5,8
DOONSIDE,Drug offences,"Dealing, trafficking in cocaine",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOONSIDE,Drug offences,"Dealing, trafficking in narcotics",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DOONSIDE,Drug offences,"Dealing, trafficking in cannabis",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOONSIDE,Drug offences,"Dealing, trafficking in amphetamines",0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DOONSIDE,Drug offences,"Dealing, trafficking in ecstasy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOONSIDE,Drug offences,Manufacture drug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOONSIDE,Drug offences,Importing drugs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
